Ano;UF;IBC;Cobertura Pop. 4G5G;Densidade SMP;HHI SMP;Densidade SCM;HHI SCM;Adensamento Estações;Fibra;Cobertura área agricultável
2021;ES;64,43;0,9249;63,19;5353;11,77;1081;4,48;0,84615384615385;
2021;GO;63,37;0,9233;64,59;2946;10,58;1142;3,64;0,71951219512195;
2021;MA;26,88;0,7401;49,28;2735;3,88;1021;2,38;0,77880184331797;
2021;MG;65,79;0,8960;63,09;3006;13,13;650;3,83;0,77608440797186;
2021;MS;61,09;0,8800;62,18;3625;10,74;1391;3,75;0,91139240506329;
2021;MT;63,62;0,8290;66,22;3699;11,14;839;3,88;0,95035460992908;
2021;PA;32,13;0,7472;53,59;2781;4,51;965;2,64;0,74305555555556;
2021;PB;53,95;0,8907;59,60;2834;8,93;1767;3,55;0,71748878923767;
2021;PE;54,69;0,9104;60,69;2712;5,42;632;3,25;0,82162162162162;
2021;PI;32,13;0,7377;54,59;2756;6,93;871;3,58;0,38839285714286;
2021;PR;76,20;0,9141;63,73;3469;15,75;912;4,44;1;
2021;RJ;82,97;0,9856;68,09;2702;13,75;1777;4,50;1;
2021;RN;56,46;0,8995;58,20;2863;11,38;1611;3,65;0,70059880239521;
2021;RO;43,02;0,7635;58,17;3772;9,50;1858;2,85;0,86538461538462;
2021;RR;33,94;0,7697;54,76;3941;8,21;4957;2,76;0,86666666666667;
2021;RS;72,52;0,9170;60,71;3451;16,35;869;4,35;0,91348088531187;
2021;SC;84,72;0,9068;68,70;3242;19,76;983;4,32;1;
2021;SE;52,61;0,9202;58,45;4488;8,87;714;2,73;0,88;
2021;SP;86,70;0,9875;71,34;2691;17,71;2105;3,84;0,95658914728682;
2021;TO;41,59;0,8249;58,07;3928;5,01;1617;3,87;0,66187050359712;
;;;;;;;;;;
