ï»¿Ano,UF,IBC,Cobertura Pop. 4G5G,Densidade SMP,HHI SMP,Densidade SCM,HHI SCM,Adensamento EstaÃ§Ãµes,Fibra,Cobertura Ã¡rea agricultÃ¡vel
2022,RR,"31,76","2,4763","63,06",66,"22,66",0,"3,39","53,33",
2022,RS,"80,17","76,2427","76,75",73,"90,61",92,"62,31","87,12",
2022,SC,"86,02","77,8615","91,67",85,"98,60",91,"48,95","98,64",
2022,SE,"55,90","75,8936","62,49",29,"34,26",96,"8,46",80,
2022,SP,"88,62","97,9633","100,00",100,"100,00",65,"38,53","95,35",
2022,TO,"46,17","28,6998","68,58",41,"13,84",84,"58,53","52,52",
2021,AC,"33,41","15,0147","21,41",56,"18,58",36,"10,68","81,82",
2021,AL,"49,01","53,3908","24,98",100,"5,08",85,"28,63","97,06",
2021,AM,"30,94","26,1674","29,79",73,"18,25",55,"4,75","45,16",
2021,AP,"39,14","61,2046","21,65",91,"32,42",15,"6,80","56,25",
2021,BA,"45,34","19,8310","39,57",100,"18,44",100,"9,25","88,73",
2021,CE,"58,91","56,8688","45,05",96,"37,02",90,"25,44","95,65",
2021,DF,"94,06","100,0000","98,56",92,"86,78",56,"100,00",100,
2021,ES,"64,43","72,3285","63,06",0,"49,66",89,"64,92","84,62",
2021,GO,"63,37","71,7056","69,40",87,"42,18",88,"39,08","71,95",
2021,MA,"26,88","0,9609","0,00",95,"0,00",91,"0,00","77,88",
2021,MG,"65,79","61,1771","62,62",85,"58,26",99,"44,94","77,61",
2021,MS,"61,09","54,9649","58,49",63,"43,21",82,"42,33","91,14",
2021,MT,"63,62","35,2728","76,83",60,"45,71",95,"46,50","95,04",
2021,PA,"32,13","3,6909","19,56",93,"3,97",92,"8,09","74,31",
2021,PB,"53,95","59,1254","46,81",91,"31,78",73,"36,36","71,75",
2021,PE,"54,69","66,7338","51,76",96,"9,70",100,"27,01","82,16",
2021,PI,"32,13","0,0000","24,09",94,"19,17",94,"37,29","38,84",
2021,PR,"76,20","68,1535","65,51",68,"74,72",93,"63,70",100,
2021,RJ,"82,97","95,7673","85,26",96,"62,16",73,"65,51",100,
2021,RN,"56,46","62,5125","40,47",90,"47,19",77,"39,43","70,06",
2021,RO,"43,02","9,9891","40,31",57,"35,37",71,"14,70","86,54",
2021,RR,"33,94","12,3725","24,86",51,"27,24",0,"11,74","86,67",
2021,RS,"72,52","69,2590","51,83",69,"78,54",94,"60,87","91,35",
2021,SC,"84,72","65,3221","88,07",77,"100,00",91,"60,01",100,
2021,SE,"52,61","70,5142","41,60",31,"31,40",98,"10,83",88,
2021,SP,"86,70","96,5104","100,00",97,"87,12",66,"45,18","95,66",
2021,TO,"41,59","33,6849","39,84",52,"7,11",77,"46,10","66,19",
